-35.900002	-9.2	-28.200001
-35.900002	-8.7	-27.5
-35.299999	-8.1	-27.1
-34.5	-7.4	-27.4
-34.299999	-8.7	-28.1
-33.600002	-7.1	-28.200001
-33.5	-7.5	-28.9
-32.700001	-8.2	-28.5
-31.6	-8.3	-26.700001
-30.700001	-9.6	-27.6
-28.4	-11.7	-27.6
-22.9	-15.7	-24.5
-18.4	-19.1	-15.6
-15.900001	-24.6	-4.2
-18.5	-29.200001	8.3
-22.200001	-33.100002	17.6
-25.200001	-33.0	20.6
-20.4	-29.300001	15.2
-17.200001	-22.5	-0.7
-21.9	-14.400001	-14.6
-35.299999	-6.0	-19.700001
-47.900002	-5.2	-17.0
-51.0	-9.3	-23.4
-51.0	-10.8	-27.1
-40.400002	-14.2	-35.0
-28.300001	-18.9	-35.299999
-20.800001	-28.0	-26.200001
-19.9	-36.200001	-16.9
-18.5	-35.799999	-10.0
-16.1	-27.300001	-10.2
-18.700001	-15.6	-11.1
-27.6	-6.6	-12.400001
-37.799999	-4.2	-18.700001
-47.0	-6.6	-24.800001
-48.200001	-11.0	-29.300001
-47.600002	-11.900001	-30.5
-41.5	-12.5	-32.700001
-30.700001	-17.800001	-35.400002
-23.5	-24.0	-29.800001
-18.200001	-31.4	-19.700001
-19.5	-34.700001	-4.0
-21.9	-35.0	8.2
-23.300001	-27.0	17.9
-21.700001	-17.200001	12.5
-21.200001	-11.400001	-1.3
-25.0	-8.1	-12.3
-32.100002	-5.9	-22.1
-41.5	-7.8	-25.700001
-46.400002	-9.7	-27.5
-44.900002	-11.1	-28.1
-37.799999	-14.7	-34.100002
-30.200001	-17.5	-33.400002
-23.0	-22.300001	-28.9
-20.5	-23.700001	-23.6
-20.800001	-23.4	-24.5
-24.0	-17.800001	-25.700001
-23.6	-12.3	-17.4
-21.6	-9.8	-0.9
-26.700001	-13.7	18.800001
-37.100002	-22.300001	33.700001
-48.200001	-27.5	40.0
-52.400002	-31.0	40.0
-49.700001	-35.299999	39.600002
-42.400002	-36.299999	38.100002
-28.200001	-39.299999	19.6
-21.1	-37.100002	-12.400001
-27.4	-26.5	-30.9
-34.0	-19.5	-32.900002
-37.5	-16.0	-31.700001
-36.200001	-12.6	-28.800001
-28.4	-10.1	-21.800001
-21.5	-10.7	-4.9
-26.700001	-16.200001	21.800001
-41.0	-20.1	36.400002
-52.600002	-19.300001	38.600002
-59.200001	-18.200001	37.600002
-65.200005	-13.2	32.700001
-66.099998	-8.5	27.4
-62.100002	-3.9	21.700001
-55.5	-0.3	19.1
-49.299999	-1.4	20.4
-41.5	-2.9	21.5
-31.5	-8.7	19.700001
-21.5	-13.8	5.3
-22.1	-12.0	-11.6
-27.6	-8.5	-21.200001
-32.700001	-4.5	-16.300001
-32.400002	-2.5	-12.2
-30.4	-3.0	-3.8
-26.700001	-6.4	3.8
-24.200001	-15.5	14.900001
-30.800001	-30.800001	25.5
-43.600002	-37.900002	31.6
-54.700001	-33.200001	38.0
-61.900002	-23.6	39.5
-64.200005	-19.800001	38.900002
-63.299999	-19.300001	40.100002
-55.600002	-17.800001	41.100002
-47.600002	-18.9	40.600002
-36.100002	-22.4	35.200001
-26.6	-21.800001	20.300001
-18.5	-21.1	1.7
-22.200001	-13.0	-18.4
-31.1	-6.7	-20.800001
-36.900002	-1.5	-15.5
-37.299999	-0.8	-10.400001
-34.0	0.1	-4.1
-29.200001	-3.4	4.7
-25.9	-11.6	14.400001
-29.300001	-27.9	23.700001
-36.5	-35.400002	27.700001
-48.100002	-38.400002	29.6
-60.100002	-33.600002	35.700001
-67.400002	-23.300001	34.799999
-67.800003	-16.800001	32.5
-63.600002	-8.8	30.1
-55.400002	-3.7	26.800001
-45.900002	-1.1	23.4
-38.200001	-0.9	16.6
-33.100002	0.7	3.1
-36.100002	2.8	-11.6
-44.200001	2.8	-16.1
-46.299999	2.4	-13.8
-48.700001	2.5	-13.0
-46.600002	2.9	-13.0
-41.799999	2.9	-14.5
-28.4	-1.7	-16.6
-24.200001	-9.3	-20.1
-27.9	-12.7	-31.300001
-33.600002	-10.900001	-33.700001
-36.100002	-8.0	-31.200001
-38.200001	-4.0	-29.200001
-35.600002	-3.6	-29.4
-32.100002	-8.400001	-34.799999
-22.1	-19.200001	-32.200001
-18.5	-30.200001	-14.900001
-25.1	-37.400002	8.0
-37.600002	-33.100002	33.299999
-42.5	-18.0	37.100002
-33.200001	-9.1	27.300001
-26.700001	-5.3	11.900001
-24.200001	-2.3	-9.3
-24.6	-5.0	-16.5
-19.1	-12.2	-5.6
-25.4	-21.800001	18.6
-36.0	-30.700001	29.0
-45.700001	-33.299999	34.200001
-47.600002	-34.600002	34.100002
-43.5	-34.600002	32.900002
-34.700001	-31.6	31.6
-29.5	-23.4	29.1
-27.700001	-14.400001	25.1
-27.1	-6.6	17.6
-29.5	-0.8	13.2
-30.200001	-1.4	14.900001
-30.6	-4.1	17.4
-28.5	-9.7	21.200001
-29.700001	-24.5	29.1
-34.700001	-30.4	30.800001
-44.400002	-32.700001	35.299999
-55.100002	-30.300001	39.0
-56.799999	-30.1	38.400002
-56.299999	-32.700001	36.5
-54.5	-35.600002	33.700001
-47.400002	-37.5	33.100002
-36.700001	-35.299999	30.5
-29.9	-23.5	30.1
-25.9	-13.5	23.6
-26.4	-5.6	16.4
-30.6	0.8	15.2
-37.400002	1.6	16.0
-43.400002	2.5	16.200001
-50.400002	3.0	9.7
-53.0	3.6	2.7
-49.400002	3.9	-8.1
-45.799999	3.0	-16.1
-42.100002	2.0	-21.700001
-42.799999	-1.7	-26.6
-42.200001	-3.6	-30.6
-41.299999	-6.5	-32.200001
-34.799999	-11.400001	-36.400002
-28.700001	-14.5	-36.700001
-21.5	-21.1	-33.5
-17.1	-24.800001	-25.1
-15.6	-27.200001	-13.3
-16.5	-24.4	4.8
-16.200001	-13.7	8.0
-18.9	-2.7	-0.9
-25.4	3.3	-12.8
-30.6	4.2	-17.200001
-36.600002	4.8	-19.6
-41.799999	3.9	-20.5
-43.0	2.3	-21.9
-39.400002	2.1	-23.4
-34.299999	-0.1	-26.9
-29.700001	-4.6	-31.5
-23.300001	-12.5	-35.600002
-18.9	-23.4	-32.600002
-21.300001	-33.400002	-24.1
-25.4	-39.100002	-16.9
-26.0	-41.400002	-11.2
-23.1	-39.5	-4.0
-19.4	-32.100002	3.7
-16.4	-20.5	13.5
-20.6	-6.6	15.2
-28.0	3.0	9.5
-35.200001	7.0	-4.4
-42.900002	2.8	-18.9
-46.100002	-0.4	-23.1
-47.400002	-1.3	-24.4
-47.299999	-1.7	-23.0
-40.100002	-1.0	-24.6
-29.300001	-4.2	-29.5
-19.5	-13.900001	-30.5
-15.7	-24.300001	-19.9
-17.9	-30.5	-5.6
